P_hat, BEFORE optimization
Reprojection error 0.0008574041811713163
Reprojection error 0.0006273315208058464
Reprojection error 0.0006267778549693878
Reprojection error 0.0006267778486475196
Reprojection error 0.0006267778521621855
Reprojection error 0.0006267778360114047
Reprojection error 0.0006267778282345361
Reprojection error 0.0006267778728175669
Reprojection error 0.0006267778617978577
Reprojection error 0.0006267778861229181
Reprojection error 0.0006267778294614221
Reprojection error 0.0006267778169903135
Reprojection error 0.0006267778810100872
Reprojection error 0.0006267778732399112
Reprojection error 0.0006267778643074264
Reprojection error 0.0007177018331882756
Reprojection error 0.0006263737402313601
Reprojection error 0.0006263737349046737
Reprojection error 0.0006263737274953936
Reprojection error 0.0006263737670074431
Reprojection error 0.0006263737656592174
Reprojection error 0.0006263737648638709
Reprojection error 0.000626373754834463
Reprojection error 0.0006263737173529451
Reprojection error 0.0006263737376904845
Reprojection error 0.0006263737098538748
Reprojection error 0.0006263737431764872
Reprojection error 0.0006263737469646678
Reprojection error 0.0006263737176350103
Reprojection error 0.0006282812734490168
Reprojection error 0.0006254929351281999
Reprojection error 0.000625492944578037
Reprojection error 0.0006254929231805144
Reprojection error 0.0006254929512252113
Reprojection error 0.0006254929458765786
Reprojection error 0.000625492931432158
Reprojection error 0.0006254929423328829
Reprojection error 0.0006254929335143713
Reprojection error 0.0006254929345274384
Reprojection error 0.0006254929334381971
Reprojection error 0.0006254929274064744
Reprojection error 0.0006254929357272436
Reprojection error 0.0006254929387306072
Reprojection error 0.0006369719856173691
Reprojection error 0.0006254413806093665
Reprojection error 0.0006254413762574948
Reprojection error 0.0006254413879806806
Reprojection error 0.0006254413842842486
Reprojection error 0.000625441388456206
Reprojection error 0.0006254413885502172
Reprojection error 0.0006254413816038728
Reprojection error 0.0006254413697499976
Reprojection error 0.0006254413819799237
Reprojection error 0.0006254413792135779
Reprojection error 0.0006254413703527087
Reprojection error 0.0006254413753914766
Reprojection error 0.0006254413665340592
Reprojection error 0.0006257765148170017
Reprojection error 0.0006253931988050885
Reprojection error 0.0006253931928724843
Reprojection error 0.000625393197701678
Reprojection error 0.000625393199041291
Reprojection error 0.0006253932054022629
Reprojection error 0.0006253932018547712
Reprojection error 0.0006253931966617857
Reprojection error 0.0006253931912030786
Reprojection error 0.0006253932014593944
Reprojection error 0.0006253931988937425
Reprojection error 0.0006253931957402047
Reprojection error 0.0006253931935876259
Reprojection error 0.0006253931919103534
Reprojection error 0.000625620937367589
Reprojection error 0.0006253640160644807
Reprojection error 0.0006253640157041409
Reprojection error 0.0006253640186320226
Reprojection error 0.0006253640152737659
Reprojection error 0.0006253640187147886
Reprojection error 0.0006253640168520525
Reprojection error 0.0006253640187086388
Reprojection error 0.0006253640113058587
Reprojection error 0.0006253640175436626
Reprojection error 0.0006253640169519889
Reprojection error 0.0006253640164787873
Reprojection error 0.0006253640131368846
Reprojection error 0.0006253640116495757
Reprojection error 0.0006258949764935746
Reprojection error 0.0006253597775463557
Reprojection error 0.0006253597763558931
Reprojection error 0.0006253597793410508
Reprojection error 0.0006253597796832575
Reprojection error 0.0006253597788653367
Reprojection error 0.000625359780113651
Reprojection error 0.0006253597758446501
Reprojection error 0.0006253597761541785
Reprojection error 0.0006253597787063911
Reprojection error 0.0006253597793700676
Reprojection error 0.0006253597775344416
Reprojection error 0.0006253597761413156
Reprojection error 0.0006253597759245504
Reprojection error 0.0006253891024092715
Reprojection error 0.0006253547289348396
Reprojection error 0.0006253547281700938
Reprojection error 0.0006253547297237158
Reprojection error 0.0006253547293503843
Reprojection error 0.0006253547292254032
Reprojection error 0.0006253547291581658
Reprojection error 0.000625354728057394
Reprojection error 0.0006253547282197797
Reprojection error 0.000625354729161425
Reprojection error 0.0006253547293991172
Reprojection error 0.0006253547285949112
Reprojection error 0.0006253547290769304
Reprojection error 0.0006253547282609945
Reprojection error 0.0006253574276736452
Reprojection error 0.0006253544081926081
Reprojection error 0.0006253544084974836
Reprojection error 0.0006253544083625276
Reprojection error 0.0006253544079916496
Reprojection error 0.0006253544082953826
Reprojection error 0.0006253544089711086
Reprojection error 0.0006253544072351812
Reprojection error 0.0006253544074609549
Reprojection error 0.0006253544083321103
Reprojection error 0.0006253544086066936
Reprojection error 0.0006253544078856893
Reprojection error 0.0006253544083478
Reprojection error 0.0006253544079408102
Reprojection error 0.0006253671114407468
Reprojection error 0.0006253538939593027
Reprojection error 0.0006253538939234796
Reprojection error 0.0006253538939665705
Reprojection error 0.000625353893973042
Reprojection error 0.0006253538938835107
Reprojection error 0.0006253538940138054
Reprojection error 0.0006253538938628113
Reprojection error 0.0006253538940694989
Reprojection error 0.0006253538939451213
Reprojection error 0.0006253538939597139
Reprojection error 0.0006253538939618502
Reprojection error 0.0006253538939924996
Reprojection error 0.0006253538940227685
Reprojection error 0.0006253538899291166
Reprojection error 0.000625353889930541
Reprojection error 0.0006253538899281814
Reprojection error 0.0006253538899296813
Reprojection error 0.0006253538899317636
Reprojection error 0.0006253538899273197
Reprojection error 0.0006253538899317727
Reprojection error 0.000625353889926079
Reprojection error 0.0006253538899294406
Reprojection error 0.0006253538899293284
Reprojection error 0.000625353889928932
Reprojection error 0.0006253538899283057
Reprojection error 0.000625353889928334
Reprojection error 0.0006253538899291166
